Ensembl Gene ID	Ensembl Protein ID
ENSG00000004399	ENSP00000423832
ENSG00000004399	ENSP00000426162
ENSG00000004399	ENSP00000426241
ENSG00000004399	ENSP00000426540
ENSG00000004399	ENSP00000427696
ENSG00000004455	ENSP00000346921
ENSG00000004455	ENSP00000362548
ENSG00000004455	ENSP00000446849
ENSG00000004455	ENSP00000447082
ENSG00000004455	ENSP00000449003
ENSG00000004455	ENSP00000450008
ENSG00000004455	ENSP00000450109
ENSG00000004455	ENSP00000486342
ENSG00000004455	ENSP00000486507
ENSG00000004478	ENSP00000001008
ENSG00000004478	ENSP00000438491
ENSG00000004478	ENSP00000439703
ENSG00000004478	ENSP00000442193
ENSG00000004478	ENSP00000446368
ENSG00000004478	ENSP00000486800
ENSG00000004700	ENSP00000318727
ENSG00000004700	ENSP00000379400
ENSG00000004700	ENSP00000395449
ENSG00000004700	ENSP00000416739
ENSG00000004700	ENSP00000439069
ENSG00000004700	ENSP00000440700
ENSG00000004700	ENSP00000445555
ENSG00000004700	ENSP00000446036
ENSG00000004777	ENSP00000007510
ENSG00000004777	ENSP00000320038
ENSG00000004777	ENSP00000368227
ENSG00000004777	ENSP00000465411
ENSG00000004777	ENSP00000466443
ENSG00000004777	ENSP00000467844
ENSG00000004779	ENSP00000007516
ENSG00000004779	ENSP00000454812
ENSG00000004779	ENSP00000454891
ENSG00000004779	ENSP00000458770
ENSG00000004779	ENSP00000461693
ENSG00000004864	ENSP00000265631
ENSG00000004864	ENSP00000400101
ENSG00000004864	ENSP00000473505
ENSG00000004961	ENSP00000326579
ENSG00000004961	ENSP00000370139
ENSG00000004961	ENSP00000370140
ENSG00000005100	ENSP00000225296
ENSG00000005100	ENSP00000413779
ENSG00000005100	ENSP00000458203
ENSG00000005100	ENSP00000458925
ENSG00000005102	ENSP00000321684
ENSG00000005102	ENSP00000328678
ENSG00000005102	ENSP00000377271
ENSG00000005102	ENSP00000449049
ENSG00000005175	ENSP00000005386
ENSG00000005175	ENSP00000370024
ENSG00000005175	ENSP00000401823
ENSG00000005187	ENSP00000289416
ENSG00000005187	ENSP00000394565
ENSG00000005187	ENSP00000456055
ENSG00000005187	ENSP00000456767
ENSG00000005187	ENSP00000457003
ENSG00000005187	ENSP00000457158
ENSG00000005187	ENSP00000457608
ENSG00000005187	ENSP00000457926
ENSG00000005187	ENSP00000458068
ENSG00000005189	ENSP00000261377
ENSG00000005189	ENSP00000261378
ENSG00000005189	ENSP00000454262
ENSG00000005189	ENSP00000455233
ENSG00000005189	ENSP00000455677
ENSG00000005189	ENSP00000455867
ENSG00000005189	ENSP00000456030
ENSG00000005189	ENSP00000456182
ENSG00000005189	ENSP00000456227
ENSG00000005189	ENSP00000456643
ENSG00000005189	ENSP00000456666
ENSG00000005189	ENSP00000457616
ENSG00000005189	ENSP00000457789
ENSG00000005189	ENSP00000458004
ENSG00000005194	ENSP00000377914
ENSG00000005194	ENSP00000454480
ENSG00000005194	ENSP00000455309
ENSG00000005194	ENSP00000455572
ENSG00000005194	ENSP00000456114
ENSG00000005194	ENSP00000457042
ENSG00000005194	ENSP00000457318
ENSG00000005194	ENSP00000457400
ENSG00000005194	ENSP00000457622
ENSG00000005194	ENSP00000458000
ENSG00000005243	ENSP00000462035
ENSG00000005243	ENSP00000463413
ENSG00000005243	ENSP00000463581
ENSG00000005243	ENSP00000463687
ENSG00000005243	ENSP00000463841
ENSG00000005243	ENSP00000464484
ENSG00000005243	ENSP00000480707
ENSG00000005249	ENSP00000265717
ENSG00000005302	ENSP00000312244
ENSG00000005302	ENSP00000338078
ENSG00000005302	ENSP00000354562
ENSG00000005302	ENSP00000370067
ENSG00000005302	ENSP00000370068
ENSG00000005302	ENSP00000370069
ENSG00000005302	ENSP00000381538
ENSG00000005302	ENSP00000401809
ENSG00000005302	ENSP00000418673
ENSG00000005302	ENSP00000419976
ENSG00000005339	ENSP00000262367
ENSG00000005339	ENSP00000371502
ENSG00000005339	ENSP00000458254
ENSG00000005339	ENSP00000459490
ENSG00000005339	ENSP00000460474
ENSG00000005339	ENSP00000461002
ENSG00000005379	ENSP00000268893
ENSG00000005379	ENSP00000345824
ENSG00000005379	ENSP00000462518
ENSG00000005379	ENSP00000462710
ENSG00000005379	ENSP00000462822
ENSG00000005381	ENSP00000225275
ENSG00000005381	ENSP00000464668
ENSG00000005448	ENSP00000006526
ENSG00000005448	ENSP00000387236
ENSG00000005448	ENSP00000406606
ENSG00000005469	ENSP00000331981
ENSG00000005469	ENSP00000404867
ENSG00000005469	ENSP00000411983
ENSG00000005469	ENSP00000413575
ENSG00000005486	ENSP00000006777
ENSG00000005486	ENSP00000314144
ENSG00000005486	ENSP00000391232
ENSG00000005486	ENSP00000403507
ENSG00000005513	ENSP00000293894
ENSG00000005844	ENSP00000349252
ENSG00000005844	ENSP00000350886
ENSG00000005844	ENSP00000409377
ENSG00000005844	ENSP00000454342
ENSG00000005844	ENSP00000454908
ENSG00000005844	ENSP00000456521
ENSG00000005844	ENSP00000456888
ENSG00000005844	ENSP00000457785
ENSG00000005844	ENSP00000458739
ENSG00000005844	ENSP00000461006
ENSG00000005961	ENSP00000262407
ENSG00000005961	ENSP00000465534
ENSG00000005961	ENSP00000467269
ENSG00000006015	ENSP00000351422
ENSG00000006015	ENSP00000398467
ENSG00000006015	ENSP00000469859
ENSG00000006015	ENSP00000471429
ENSG00000006025	ENSP00000007414
ENSG00000006025	ENSP00000376295
ENSG00000006025	ENSP00000463599
ENSG00000006025	ENSP00000464624
ENSG00000006025	ENSP00000479827
ENSG00000006118	ENSP00000005286
ENSG00000006118	ENSP00000405823
ENSG00000006118	ENSP00000437848
ENSG00000006118	ENSP00000439716
ENSG00000006118	ENSP00000439717
ENSG00000006118	ENSP00000442754
ENSG00000006282	ENSP00000006658
ENSG00000006282	ENSP00000348878
ENSG00000006282	ENSP00000422378
ENSG00000006282	ENSP00000423643
ENSG00000006282	ENSP00000424215
ENSG00000006282	ENSP00000424538
ENSG00000006282	ENSP00000425271
ENSG00000006282	ENSP00000426025
ENSG00000006282	ENSP00000426228
ENSG00000006282	ENSP00000426608
ENSG00000006282	ENSP00000427374
ENSG00000006282	ENSP00000483295
ENSG00000006282	ENSP00000489476
ENSG00000006282	ENSP00000489591
ENSG00000006327	ENSP00000326737
ENSG00000006327	ENSP00000343894
ENSG00000006327	ENSP00000458305
ENSG00000006327	ENSP00000458898
ENSG00000006327	ENSP00000460610
ENSG00000006327	ENSP00000461756
ENSG00000006451	ENSP00000005257
ENSG00000006451	ENSP00000388975
ENSG00000006451	ENSP00000413227
ENSG00000006453	ENSP00000005260
ENSG00000006530	ENSP00000347581
ENSG00000006530	ENSP00000418101
ENSG00000006530	ENSP00000418789
ENSG00000006530	ENSP00000420540
ENSG00000006530	ENSP00000420776
ENSG00000006530	ENSP00000487274
ENSG00000006534	ENSP00000473990
ENSG00000006534	ENSP00000477789
ENSG00000006534	ENSP00000478380
ENSG00000006534	ENSP00000478486
ENSG00000006534	ENSP00000478632
ENSG00000006534	ENSP00000479948
ENSG00000006534	ENSP00000481604
ENSG00000006534	ENSP00000483988
ENSG00000006534	ENSP00000484901
ENSG00000006576	ENSP00000248550
ENSG00000006576	ENSP00000275575
ENSG00000006576	ENSP00000307699
ENSG00000006576	ENSP00000387355
ENSG00000006576	ENSP00000400958
ENSG00000006576	ENSP00000403042
ENSG00000006576	ENSP00000403620
ENSG00000006576	ENSP00000408035
ENSG00000006606	ENSP00000005180
ENSG00000006606	ENSP00000378365
ENSG00000006607	ENSP00000264042
ENSG00000006607	ENSP00000362384
ENSG00000006607	ENSP00000388167
ENSG00000006607	ENSP00000393376
ENSG00000006607	ENSP00000403437
ENSG00000006607	ENSP00000411353
ENSG00000006607	ENSP00000412772
ENSG00000006607	ENSP00000415474
ENSG00000006607	ENSP00000486597
ENSG00000006625	ENSP00000005374
ENSG00000006625	ENSP00000275428
ENSG00000006625	ENSP00000386610
ENSG00000006625	ENSP00000386686
ENSG00000006625	ENSP00000387235
ENSG00000006625	ENSP00000387809
ENSG00000006625	ENSP00000390094
ENSG00000006625	ENSP00000408015
ENSG00000006652	ENSP00000005558
ENSG00000006652	ENSP00000384477
ENSG00000006652	ENSP00000391379
ENSG00000006652	ENSP00000397314
ENSG00000006652	ENSP00000397592
ENSG00000006652	ENSP00000402177
ENSG00000006652	ENSP00000402453
ENSG00000006652	ENSP00000403203
ENSG00000006652	ENSP00000413893
ENSG00000006652	ENSP00000435635
ENSG00000006652	ENSP00000437250
ENSG00000006652	ENSP00000439188
ENSG00000006652	ENSP00000483255
ENSG00000006659	ENSP00000353893
ENSG00000006659	ENSP00000375905
ENSG00000006659	ENSP00000471660
ENSG00000006715	ENSP00000265745
ENSG00000006715	ENSP00000309457
ENSG00000006715	ENSP00000379297
ENSG00000006715	ENSP00000391980
ENSG00000006715	ENSP00000395410
ENSG00000006715	ENSP00000398584
ENSG00000006715	ENSP00000407835
ENSG00000006715	ENSP00000411919
ENSG00000006715	ENSP00000412974
ENSG00000006757	ENSP00000370430
ENSG00000006757	ENSP00000406698
ENSG00000006757	ENSP00000415245
ENSG00000006757	ENSP00000443157
ENSG00000006831	ENSP00000349616
ENSG00000007038	ENSP00000005995
ENSG00000007038	ENSP00000407741
ENSG00000007038	ENSP00000458341
ENSG00000007038	ENSP00000459664
ENSG00000007038	ENSP00000460351
ENSG00000007038	ENSP00000460417
ENSG00000007080	ENSP00000408730
ENSG00000007080	ENSP00000471455
ENSG00000007080	ENSP00000472520
ENSG00000007129	ENSP00000187608
ENSG00000007129	ENSP00000384380
ENSG00000007129	ENSP00000385739
ENSG00000007129	ENSP00000390697
ENSG00000007129	ENSP00000488260
ENSG00000007237	ENSP00000322608
ENSG00000007237	ENSP00000379421
ENSG00000007237	ENSP00000407552
ENSG00000007237	ENSP00000410108
ENSG00000007237	ENSP00000443265
ENSG00000007237	ENSP00000462304
ENSG00000007237	ENSP00000462897
ENSG00000007237	ENSP00000463527
ENSG00000007237	ENSP00000463551
ENSG00000007237	ENSP00000463873
ENSG00000007237	ENSP00000464088
ENSG00000007237	ENSP00000464240
ENSG00000007237	ENSP00000464494
ENSG00000007255	ENSP00000006275
ENSG00000007255	ENSP00000468182
ENSG00000007255	ENSP00000468363
ENSG00000007255	ENSP00000468612
ENSG00000007264	ENSP00000308734
ENSG00000007264	ENSP00000378481
ENSG00000007264	ENSP00000378485
ENSG00000007264	ENSP00000465556
ENSG00000007264	ENSP00000465761
ENSG00000007264	ENSP00000467006
ENSG00000007264	ENSP00000467472
ENSG00000007264	ENSP00000467992
ENSG00000007264	ENSP00000468030
ENSG00000007264	ENSP00000468465
ENSG00000007264	ENSP00000468576
ENSG00000007264	ENSP00000478847
ENSG00000007264	ENSP00000483213
ENSG00000007312	ENSP00000006750
ENSG00000007312	ENSP00000245862
ENSG00000007312	ENSP00000376544
ENSG00000007376	ENSP00000007264
ENSG00000007376	ENSP00000454616
ENSG00000007376	ENSP00000455026
ENSG00000007376	ENSP00000455862
ENSG00000007376	ENSP00000456231
ENSG00000007376	ENSP00000456545
ENSG00000007376	ENSP00000456692
ENSG00000007376	ENSP00000457527
ENSG00000007376	ENSP00000457722
ENSG00000007376	ENSP00000458059
ENSG00000007392	ENSP00000293872
ENSG00000007392	ENSP00000337507
ENSG00000007392	ENSP00000380882
ENSG00000007392	ENSP00000380885
ENSG00000007392	ENSP00000390953
ENSG00000007392	ENSP00000393551
ENSG00000007392	ENSP00000406695
ENSG00000007392	ENSP00000407781
ENSG00000007392	ENSP00000409977
ENSG00000007392	ENSP00000413033
ENSG00000007392	ENSP00000414508
ENSG00000007392	ENSP00000414860
ENSG00000007392	ENSP00000485761
ENSG00000007402	ENSP00000266039
ENSG00000007402	ENSP00000354228
ENSG00000007402	ENSP00000390329
ENSG00000007402	ENSP00000404631
ENSG00000007402	ENSP00000407393
ENSG00000007402	ENSP00000418081
ENSG00000007516	ENSP00000324510
ENSG00000007516	ENSP00000380625
ENSG00000007516	ENSP00000407242
ENSG00000007516	ENSP00000409533
ENSG00000007516	ENSP00000455414
ENSG00000007516	ENSP00000457644
ENSG00000007516	ENSP00000457947
ENSG00000007516	ENSP00000458134
ENSG00000007516	ENSP00000487275
ENSG00000007541	ENSP00000026218
ENSG00000007541	ENSP00000293874
ENSG00000007541	ENSP00000326674
ENSG00000007541	ENSP00000386760
ENSG00000007541	ENSP00000387820
ENSG00000007541	ENSP00000409341
ENSG00000007541	ENSP00000410434
ENSG00000007541	ENSP00000413753
ENSG00000007541	ENSP00000439374
ENSG00000007541	ENSP00000439650
ENSG00000007541	ENSP00000489216
ENSG00000007866	ENSP00000345772
ENSG00000007866	ENSP00000384577
ENSG00000007866	ENSP00000416400
ENSG00000007923	ENSP00000294401
ENSG00000007923	ENSP00000366800
ENSG00000007923	ENSP00000410194
ENSG00000007923	ENSP00000415871
ENSG00000007944	ENSP00000008686
ENSG00000007944	ENSP00000349298
ENSG00000007968	ENSP00000355249
ENSG00000008056	ENSP00000295987
ENSG00000008056	ENSP00000343206
ENSG00000008083	ENSP00000341280
ENSG00000008083	ENSP00000380478
ENSG00000008086	ENSP00000369325
ENSG00000008086	ENSP00000369332
ENSG00000008086	ENSP00000485184
ENSG00000008086	ENSP00000485244
ENSG00000008086	ENSP00000485359
ENSG00000008086	ENSP00000485581
ENSG00000008086	ENSP00000485625
ENSG00000008118	ENSP00000009105
ENSG00000008118	ENSP00000354861
ENSG00000008118	ENSP00000392173
ENSG00000008128	ENSP00000348529
ENSG00000008128	ENSP00000350403
ENSG00000008128	ENSP00000351629
ENSG00000008128	ENSP00000367900
ENSG00000008128	ENSP00000367905
ENSG00000008128	ENSP00000383874
ENSG00000008128	ENSP00000384442
ENSG00000008128	ENSP00000422149
ENSG00000008128	ENSP00000423900
ENSG00000008128	ENSP00000462289
ENSG00000008130	ENSP00000339727
ENSG00000008130	ENSP00000341679
ENSG00000008130	ENSP00000344340
ENSG00000008130	ENSP00000367890
ENSG00000008130	ENSP00000462589
ENSG00000008130	ENSP00000462999
ENSG00000008130	ENSP00000464096
ENSG00000008130	ENSP00000464137
ENSG00000008226	ENSP00000308597
ENSG00000008226	ENSP00000315914
ENSG00000008226	ENSP00000404261
ENSG00000008256	ENSP00000297044
ENSG00000008256	ENSP00000379967
ENSG00000008283	ENSP00000354028
ENSG00000008283	ENSP00000376701
ENSG00000008283	ENSP00000376702
ENSG00000008283	ENSP00000400350
ENSG00000008283	ENSP00000442773
ENSG00000008283	ENSP00000462325
ENSG00000008283	ENSP00000462543
ENSG00000008283	ENSP00000462545
ENSG00000008283	ENSP00000463162
ENSG00000008283	ENSP00000463680
ENSG00000008283	ENSP00000464012
ENSG00000008283	ENSP00000464193
ENSG00000008283	ENSP00000464215
ENSG00000008283	ENSP00000464470
ENSG00000008283	ENSP00000464520
ENSG00000008294	ENSP00000262013
ENSG00000008294	ENSP00000349636
ENSG00000008294	ENSP00000423165
ENSG00000008294	ENSP00000423346
ENSG00000008294	ENSP00000426061
ENSG00000008294	ENSP00000426900
ENSG00000008294	ENSP00000429343
ENSG00000008294	ENSP00000430205
ENSG00000008294	ENSP00000484908
ENSG00000008300	ENSP00000164024
ENSG00000008382	ENSP00000262966
ENSG00000008382	ENSP00000353015
ENSG00000008382	ENSP00000469057
ENSG00000008382	ENSP00000469230
ENSG00000008382	ENSP00000470987
ENSG00000008382	ENSP00000471189
ENSG00000008382	ENSP00000471715
ENSG00000008382	ENSP00000471735
ENSG00000008394	ENSP00000010404
ENSG00000008394	ENSP00000379510
ENSG00000008394	ENSP00000379512
ENSG00000008394	ENSP00000379513
ENSG00000008394	ENSP00000437988
ENSG00000008394	ENSP00000438308
ENSG00000008394	ENSP00000440443
ENSG00000008394	ENSP00000442557
ENSG00000008394	ENSP00000442767
ENSG00000008394	ENSP00000442970
ENSG00000008405	ENSP00000008527
ENSG00000008405	ENSP00000447738
ENSG00000008441	ENSP00000351354
ENSG00000008441	ENSP00000353219
ENSG00000008441	ENSP00000380781
ENSG00000008441	ENSP00000465094
ENSG00000008441	ENSP00000465616
ENSG00000008441	ENSP00000466389
ENSG00000008441	ENSP00000466605
ENSG00000008441	ENSP00000466735
ENSG00000008441	ENSP00000467512
ENSG00000008441	ENSP00000467536
ENSG00000008441	ENSP00000467785
ENSG00000008441	ENSP00000468707
ENSG00000008441	ENSP00000468794
ENSG00000008517	ENSP00000008180
ENSG00000008517	ENSP00000324742
ENSG00000008517	ENSP00000371648
ENSG00000008517	ENSP00000380096
ENSG00000008517	ENSP00000380099
ENSG00000008517	ENSP00000405063
ENSG00000008517	ENSP00000411958
ENSG00000008517	ENSP00000431740
ENSG00000008517	ENSP00000431775
ENSG00000008517	ENSP00000432218
ENSG00000008517	ENSP00000432850
ENSG00000008517	ENSP00000432917
ENSG00000008517	ENSP00000433177
ENSG00000008517	ENSP00000433747
ENSG00000008517	ENSP00000433866
ENSG00000008517	ENSP00000436929
ENSG00000008517	ENSP00000436937
ENSG00000008517	ENSP00000437020
ENSG00000008517	ENSP00000446624
ENSG00000008517	ENSP00000446978
ENSG00000008517	ENSP00000447033
ENSG00000008517	ENSP00000447496
ENSG00000008517	ENSP00000447812
ENSG00000008517	ENSP00000447979
ENSG00000008517	ENSP00000448354
ENSG00000008517	ENSP00000448683
ENSG00000008517	ENSP00000449147
ENSG00000008517	ENSP00000449483
ENSG00000008517	ENSP00000450364
ENSG00000008517	ENSP00000479701
ENSG00000008710	ENSP00000262304
ENSG00000008710	ENSP00000399501
ENSG00000008710	ENSP00000455753
ENSG00000008710	ENSP00000456670
ENSG00000008710	ENSP00000456672
ENSG00000008710	ENSP00000457132
ENSG00000008710	ENSP00000457162
ENSG00000008710	ENSP00000457984
ENSG00000008710	ENSP00000461391
ENSG00000008952	ENSP00000337688
ENSG00000008952	ENSP00000418342
ENSG00000008952	ENSP00000419319
ENSG00000008952	ENSP00000420304
ENSG00000008952	ENSP00000420331
ENSG00000009335	ENSP00000309198
ENSG00000009335	ENSP00000373755
ENSG00000009335	ENSP00000397432
ENSG00000009335	ENSP00000481584
ENSG00000009694	ENSP00000360171
ENSG00000009694	ENSP00000403954
ENSG00000009724	ENSP00000383690
ENSG00000009724	ENSP00000383691
ENSG00000009780	ENSP00000010299
ENSG00000009780	ENSP00000234549
ENSG00000009780	ENSP00000363060
ENSG00000009780	ENSP00000363065
ENSG00000009780	ENSP00000393171
ENSG00000009780	ENSP00000395150
ENSG00000009780	ENSP00000436176
ENSG00000009790	ENSP00000355990
ENSG00000009790	ENSP00000355991
ENSG00000009790	ENSP00000355992
ENSG00000009790	ENSP00000355993
ENSG00000009790	ENSP00000383743
ENSG00000009790	ENSP00000417417
ENSG00000009790	ENSP00000417665
ENSG00000009790	ENSP00000418906
ENSG00000009790	ENSP00000419180
ENSG00000009790	ENSP00000436982
ENSG00000009830	ENSP00000261534
ENSG00000009830	ENSP00000450630
ENSG00000009830	ENSP00000451115
ENSG00000009830	ENSP00000451651
ENSG00000009830	ENSP00000451730
ENSG00000009830	ENSP00000451967
ENSG00000009830	ENSP00000452060
ENSG00000009830	ENSP00000487704
ENSG00000010030	ENSP00000341843
ENSG00000010030	ENSP00000342260
ENSG00000010030	ENSP00000362842
ENSG00000010030	ENSP00000362843
ENSG00000010030	ENSP00000440592
ENSG00000010030	ENSP00000481885
ENSG00000010030	ENSP00000484485
ENSG00000010030	ENSP00000486712
ENSG00000010072	ENSP00000008440
ENSG00000010072	ENSP00000295050
ENSG00000010072	ENSP00000355604
ENSG00000010072	ENSP00000375731
ENSG00000010165	ENSP00000354920
ENSG00000010165	ENSP00000355393
ENSG00000010165	ENSP00000356711
ENSG00000010256	ENSP00000203407
ENSG00000010256	ENSP00000388660
ENSG00000010256	ENSP00000393696
ENSG00000010278	ENSP00000009180
ENSG00000010278	ENSP00000371955
ENSG00000010278	ENSP00000371958
ENSG00000010278	ENSP00000371959
ENSG00000010278	ENSP00000440985
ENSG00000010278	ENSP00000478288
ENSG00000010278	ENSP00000482643
ENSG00000010292	ENSP00000325017
ENSG00000010292	ENSP00000371895
ENSG00000010292	ENSP00000438495
ENSG00000010292	ENSP00000444377
ENSG00000010295	ENSP00000337593
ENSG00000010295	ENSP00000349364
ENSG00000010295	ENSP00000380052
ENSG00000010295	ENSP00000390721
ENSG00000010295	ENSP00000432493
ENSG00000010295	ENSP00000436261
ENSG00000010295	ENSP00000482285
ENSG00000010295	ENSP00000482340
ENSG00000010310	ENSP00000263281
ENSG00000010310	ENSP00000305321
ENSG00000010310	ENSP00000465385
ENSG00000010310	ENSP00000467342
ENSG00000010310	ENSP00000467494
ENSG00000010318	ENSP00000246282
ENSG00000010318	ENSP00000333024
ENSG00000010318	ENSP00000417712
ENSG00000010318	ENSP00000420521
ENSG00000010318	ENSP00000478693
ENSG00000010318	ENSP00000480003
ENSG00000010318	ENSP00000483724
ENSG00000010327	ENSP00000312946
ENSG00000010327	ENSP00000418426
ENSG00000010361	ENSP00000313309
ENSG00000010361	ENSP00000366296
ENSG00000010361	ENSP00000431388
ENSG00000010361	ENSP00000431420
ENSG00000010361	ENSP00000431731
ENSG00000010361	ENSP00000432148
ENSG00000010361	ENSP00000433164
ENSG00000010361	ENSP00000433492
ENSG00000010361	ENSP00000435177
ENSG00000010361	ENSP00000469856
ENSG00000010361	ENSP00000470155
ENSG00000010361	ENSP00000470863
ENSG00000010361	ENSP00000471319
ENSG00000010361	ENSP00000471793
ENSG00000010404	ENSP00000339801
ENSG00000010404	ENSP00000359470
ENSG00000010404	ENSP00000390241
ENSG00000010404	ENSP00000418264
ENSG00000010404	ENSP00000428980
ENSG00000010404	ENSP00000429745
ENSG00000010539	ENSP00000380077
ENSG00000010539	ENSP00000380079
ENSG00000010539	ENSP00000380080
ENSG00000010539	ENSP00000395723
ENSG00000010539	ENSP00000405786
ENSG00000010539	ENSP00000458508
ENSG00000010539	ENSP00000458777
ENSG00000010610	ENSP00000011653
ENSG00000010610	ENSP00000440720
ENSG00000010610	ENSP00000445167
ENSG00000010626	ENSP00000007969
ENSG00000010626	ENSP00000317464
ENSG00000010626	ENSP00000390932
ENSG00000010626	ENSP00000392623
ENSG00000010626	ENSP00000394566
ENSG00000010626	ENSP00000396049
ENSG00000010626	ENSP00000397192
ENSG00000010626	ENSP00000402554
ENSG00000010626	ENSP00000408066
ENSG00000010626	ENSP00000412744
ENSG00000010626	ENSP00000479128
ENSG00000010671	ENSP00000308176
ENSG00000010671	ENSP00000361971
ENSG00000010671	ENSP00000479125
ENSG00000010671	ENSP00000483570
ENSG00000010810	ENSP00000229471
ENSG00000010810	ENSP00000346671
ENSG00000010810	ENSP00000357656
ENSG00000010810	ENSP00000357667
ENSG00000010810	ENSP00000357671
ENSG00000010810	ENSP00000427993
ENSG00000010810	ENSP00000428042
ENSG00000010810	ENSP00000428045
ENSG00000010810	ENSP00000428493
ENSG00000010810	ENSP00000428695
ENSG00000010810	ENSP00000428983
ENSG00000010810	ENSP00000429294
ENSG00000010810	ENSP00000429590
ENSG00000010810	ENSP00000429813
ENSG00000010810	ENSP00000429866
ENSG00000010810	ENSP00000429992
ENSG00000010810	ENSP00000430364
ENSG00000010810	ENSP00000430455
ENSG00000010810	ENSP00000440646
ENSG00000010818	ENSP00000012134
ENSG00000010818	ENSP00000356575
ENSG00000010818	ENSP00000356576
ENSG00000011007	ENSP00000395574
ENSG00000011007	ENSP00000476781
ENSG00000011007	ENSP00000484196
ENSG00000011009	ENSP00000363625
ENSG00000011009	ENSP00000363626
ENSG00000011009	ENSP00000363627
ENSG00000011009	ENSP00000363629
ENSG00000011009	ENSP00000363638
ENSG00000011009	ENSP00000388003
ENSG00000011009	ENSP00000409004
ENSG00000011028	ENSP00000307513
ENSG00000011028	ENSP00000400445
ENSG00000011028	ENSP00000461968
ENSG00000011028	ENSP00000463968
ENSG00000011114	ENSP00000298896
ENSG00000011114	ENSP00000335615
ENSG00000011114	ENSP00000347246
ENSG00000011114	ENSP00000450704
ENSG00000011114	ENSP00000450778
ENSG00000011114	ENSP00000451010
ENSG00000011114	ENSP00000451408
ENSG00000011143	ENSP00000316631
ENSG00000011143	ENSP00000376827
ENSG00000011143	ENSP00000376828
ENSG00000011143	ENSP00000442096
ENSG00000011143	ENSP00000462129
ENSG00000011143	ENSP00000462179
ENSG00000011143	ENSP00000462411
ENSG00000011143	ENSP00000462423
ENSG00000011143	ENSP00000462460
ENSG00000011143	ENSP00000463826
ENSG00000011198	ENSP00000013894
ENSG00000011198	ENSP00000390849
ENSG00000011198	ENSP00000391582
ENSG00000011198	ENSP00000392159
ENSG00000011198	ENSP00000412014
ENSG00000011258	ENSP00000365561
ENSG00000011258	ENSP00000386072
ENSG00000011258	ENSP00000403946
ENSG00000011258	ENSP00000467622
ENSG00000011258	ENSP00000468304
ENSG00000011376	ENSP00000265537
ENSG00000011376	ENSP00000401388
ENSG00000011376	ENSP00000406611
ENSG00000011376	ENSP00000408576
ENSG00000011376	ENSP00000412893
ENSG00000011426	ENSP00000265748
ENSG00000011426	ENSP00000379380
ENSG00000011426	ENSP00000397465
ENSG00000011426	ENSP00000398712
ENSG00000011426	ENSP00000399553
ENSG00000011426	ENSP00000400777
ENSG00000011426	ENSP00000404979
